"","logFC_limma","P.Value_limma","logFC_edgeR","FDR_edgeR","log2FoldChange_DESeq2","padj_DESeq2"
"Slc4a7",0.681108107158095,0.0795918975310644,0.685736046673929,0.516012177696073,0.685440559138515,0.449434253229184
"Atxn2",-1.12145544512546,0.0773199239590685,-1.08454822920004,0.530602463738529,-1.0863258904027,0.449434253229184
"Gtf2h3",-0.296554234441955,0.119696636956172,-0.311801434369559,0.56055534189861,-0.312526795970282,0.449610279464791
"Tulp4",-0.580508026186752,0.121842922890837,-0.612577264072375,0.516012177696073,-0.613096017103161,0.450177482416497
"Sqstm1",-0.227262074569795,0.113582256947901,-0.214642027437598,0.460788687831885,-0.214855517778528,0.450177482416497
"Prc1",-1.27974268647447,0.0783347403286862,-1.11974835255609,0.498460121202457,-1.12236586802946,0.450177482416497
"Pgp",1.75794086354541,0.0665406388831178,1.33656220468671,0.503594536136372,1.33603979400302,0.450177482416497
"Myb",-1.44334359759866,0.0749178356121578,-1.44520075182707,0.516012177696073,-1.44972209268085,0.450177482416497
"Grwd1",-0.389358885043672,0.0858512670836308,-0.352903125938112,0.545736175873674,-0.353070481790153,0.450177482416497
"Tmco6",0.713178987479709,0.0985593553366985,0.665304137799735,0.505750303074788,0.664069743789396,0.450215114926867
"Prkcz",0.369965168134218,0.0795263263674277,0.344201154885571,0.53718722131688,0.343928296528808,0.450215114926867
"Atg4a",0.453099732069932,0.0910990004463611,0.466324226585283,0.565728317972298,0.466029661810005,0.450215114926867
"Gtf2f1",-0.24968316203525,0.0961903328377076,-0.240564469770405,0.488994295915458,-0.240866472828409,0.450280704643942
"Ttc30a1",-0.928669901520535,0.152757403922269,-1.03571802500601,0.50951239978163,-1.03786034884848,0.450286636403385
"Sh3bp5l",-0.344816954226382,0.0895675185564049,-0.33607081490076,0.547841574159458,-0.336429433857484,0.450286636403385
"Nars2",-0.513689505727408,0.107452550447969,-0.523824555370653,0.535885526684967,-0.524209718776403,0.450286636403385
"Ech1",0.220735202068855,0.101520655644818,0.214491151239158,0.467159960557986,0.213938619227483,0.450286636403385
"Rnf130",0.816160579183942,0.086735346103405,0.804352624467324,0.519844325594985,0.804083823136988,0.451379461716921
"P2ry12",-3.16843845967688,0.0405641122533454,-2.18747602363492,0.478427976822044,-2.19576212417817,0.451379461716921
"Eif4a3",-0.215238728007819,0.0795187060289682,-0.201455172364509,0.504909261418356,-0.201975204142718,0.451483990793897
"Atp6v1g1",0.165997963861896,0.139298401297875,0.187727855888899,0.462853378688744,0.187433260351734,0.451483990793897
"Tor1aip1",-0.307731484265349,0.0911242161866487,-0.294687982440647,0.565473186524434,-0.295109433899618,0.45273395053552
"Cdpf1",0.327837464289451,0.15691134984861,0.366060085179615,0.535885526684967,0.366000947291457,0.453253659172043
"Ap1s3",-1.1346789750551,0.0911109173435831,-1.13472324991814,0.531492056829529,-1.1367413808537,0.453253659172043
"Tiam2",-1.98552997742319,0.0893142790553564,-1.88069052903952,0.483350145041301,-1.89026382473323,0.453758603601721
"Ndufaf4",-0.408427444232374,0.0794760876043327,-0.39781771999406,0.572417066215214,-0.398347600593468,0.453758603601721
"Mbtd1",-0.669751246216821,0.0769376221798637,-0.617931694207051,0.514336520350117,-0.618109702975466,0.453916748655832
"Pigp",0.335951581572872,0.0764921465404066,0.320818887065983,0.565473186524434,0.32031959407966,0.454027215594572
"Mecr",-0.465118531157243,0.0976452093153334,-0.465732449756229,0.565473186524434,-0.466373625534845,0.455073340299462
"Hadh",0.371914302200573,0.0869209671936517,0.360131484475725,0.56286385190066,0.359659819941596,0.455073340299462
"Rbakdn",1.58991786341312,0.0689623638594495,1.57768307659814,0.511501183406584,1.582121163275,0.455897009229773
"Wdr34",0.865122963538405,0.129714674817025,0.956103519266943,0.514336520350117,0.956848825630606,0.45616281723456
"Dnttip2",-0.230300446337798,0.094506353403688,-0.228080758717131,0.51421701633007,-0.228502083088284,0.45616281723456
"Atp11c",0.656492781935121,0.0870471117183124,0.646687333017729,0.513329673399117,0.646730574994129,0.45616281723456
"Adamts14",1.2674037408189,0.0851800373849091,1.14253837815529,0.506648777684272,1.14195142135036,0.456591522920114
"Rin3",-0.189981466501305,0.122919121612066,-0.191822843147526,0.500609499625919,-0.192402458072333,0.456712934988908
"Nfkbiz",0.604126689886856,0.0850841102342274,0.612992299490086,0.519844325594985,0.61285594640443,0.457206238120886
"Tm2d1",0.332958932861869,0.0791803616558276,0.320773454625771,0.568454377071821,0.3202553613617,0.45721832547487
"Hcst",-0.657968445250834,0.0859926659109183,-0.661711371329612,0.52121710525931,-0.662686275750566,0.457305488629789
"Vav2",-0.699488884111421,0.0689748150053096,-0.608737618766508,0.519844325594985,-0.608785839484642,0.457558671439966
"Rpl36a",-0.250405726229246,0.0931594005552235,-0.236724684313096,0.495122083336752,-0.237435377753211,0.457726681685556
"Gtf3c1",-0.682466620626613,0.0887205686452606,-0.653564093603778,0.514336520350117,-0.654964185753835,0.457803067419445
"3010026O09Rik",0.845469068614801,0.0853655034944767,0.802877977457068,0.519844325594985,0.802823321874915,0.457872647343541
"G2e3",-0.792642205848816,0.0696183485488022,-0.710981733885184,0.508718638062591,-0.711390348571348,0.45849826919988
"Serpind1",2.2658745192054,0.0606568917117237,2.20654601602387,0.452879074105294,2.22394621913627,0.458537439256011
"Zfp277",0.475116854900749,0.0905789595473027,0.445606873277311,0.546629123598381,0.445327335924835,0.459610688466834
"Spcs1",-0.254332637892491,0.0842241745116809,-0.241467596831651,0.516375830364266,-0.241905573920491,0.459610688466834
"Mrpl11",0.533075441758171,0.0986530858048002,0.535409560886313,0.549113593073125,0.534689683388121,0.459610688466834
"Flt3l",0.421963709797367,0.0844848433256819,0.421608866461808,0.572527358884128,0.421108816807778,0.459610688466834
"Ehmt1",-0.482973198344896,0.0765240273130371,-0.429099524873374,0.574957224476888,-0.429397326098867,0.459610688466834
"Carns1",-0.667561403851118,0.128032870861946,-0.715177833800435,0.514336520350117,-0.716502415991837,0.459610688466834
"Txndc12",-0.391075031709596,0.0870149183278256,-0.388964451135072,0.577425446492569,-0.389505403166089,0.460447617192157
"Myh9",0.303141321039847,0.126112700900471,0.294148823909526,0.495006071433693,0.294016045582152,0.460447617192157
"Myg1",0.286889091844966,0.0801427393226461,0.273991351547242,0.586865891474599,0.273487418669321,0.460447617192157
"Gramd3",-0.270630325374317,0.0793083926239394,-0.238921252773456,0.482711313050808,-0.239090601484986,0.460447617192157
"Gbp5",-1.1059762135617,0.0851939740006576,-1.07855065666646,0.528884551951235,-1.08101670173983,0.460447617192157
"Dph3",-0.344755855219976,0.103954459603428,-0.354444649793242,0.572840164340752,-0.355079186244809,0.460447617192157
"Cblb",-0.354851840902593,0.115730341889484,-0.356640326702854,0.555808093973076,-0.356948729250119,0.460447617192157
"4833439L19Rik",0.201790482025626,0.153673426097121,0.229192809237177,0.49655525566866,0.228881716693501,0.460447617192157
"Ttbk1",3.517798175822,0.0310200764314638,2.19365691555686,0.488994295915458,2.20252267429764,0.460677634022628
"Stx16",-0.390570959769683,0.0986295197965106,-0.390698786559203,0.593979292829608,-0.391394835108519,0.460677634022628
"Kif1bp",-1.48868652076398,0.0958014258114725,-1.4657307865013,0.516012177696073,-1.4703108701954,0.460677634022628
"D2Wsu81e",0.368540929608701,0.0978227673934662,0.350548061839691,0.544418345575099,0.350082870591447,0.460677634022628
"Pomt2",-1.06975796654825,0.0565983168552936,-0.871447252995138,0.519844325594985,-0.871685427834371,0.460842306362159
"Ddx6",-0.254490019574121,0.108999282066464,-0.260386096614877,0.572603073784002,-0.26088436687279,0.461502389006322
"Tbcc",0.259024062682173,0.0942451799512714,0.257169993517677,0.56576753118964,0.256600532742577,0.461869091151648
"Zc3h12a",-0.307429593303835,0.0988354037398654,-0.312370221973638,0.571594092856901,-0.312860374672129,0.461953706326292
"Zc3h10",-0.283619835768871,0.127515905600555,-0.302909280729951,0.579735669448659,-0.30342786577888,0.461953706326292
"Tmbim4",0.226022419733575,0.110783413090613,0.237670364208591,0.526006271928889,0.237219528596564,0.461953706326292
"Rnf2",-0.33435804603569,0.0766930011008439,-0.293106024305842,0.507563966494107,-0.293311821351638,0.461953706326292
