"","logFC_limma","P.Value_limma","logFC_edgeR","FDR_edgeR","log2FoldChange_DESeq2","padj_DESeq2"
"L2hgdh",-1.32827230542798,0.0518913083182944,-1.22979495455482,0.322947616270634,-1.22801306395387,0.294270797128217
"Clec7a",-3.97034961402341,0.0351993182387016,-2.60047943209403,0.311379824840066,-2.60885314946517,0.294270797128217
"Alpl",1.04367970607322,0.0204669056824074,0.948718267088919,0.339974523573876,0.954031956400898,0.294270797128217
"Mrps18c",0.418362167943513,0.0344615486589337,0.409997346745306,0.378262192943776,0.415319180133684,0.294670163826288
"Cmah",-0.289349171741946,0.0254587820871768,-0.243678995050713,0.290428604662758,-0.238760250684579,0.294670163826288
"Pcyt2",0.223616681528133,0.0817866502795434,0.272069919954729,0.347894713662082,0.277364167814676,0.294762945883611
"Tnfrsf1a",-3.71793346440302,0.0821620830944452,-2.89020613339714,0.301388808568862,-2.89418781555439,0.294995117921809
"Sh2d2a",-0.706660775556839,0.0475135776303949,-0.748603401235977,0.347894713662082,-0.744426224641949,0.294995117921809
"Fkbp2",0.444357244596423,0.0305722682301122,0.406916585606079,0.374141982380416,0.412464181376662,0.294995117921809
"Zfp300",-3.67233394310065,0.0509199947056409,-3.26025565760392,0.264768017832157,-3.29102397674953,0.295438425252014
"Taf4a",0.97963244261149,0.0299711933253597,0.914913854797522,0.330704477007225,0.919344988156864,0.295438425252014
"Lynx1",0.782534096230462,0.0508995926896538,0.683785838437296,0.342746828877616,0.687861401644913,0.295438425252014
"Lgals4",-0.341567955504686,0.0244746975028411,-0.307426355982766,0.318352116231831,-0.302186418755651,0.295438425252014
"0610010F05Rik",-2.18916269528531,0.0625409846585159,-2.52036392787871,0.289243934469722,-2.53123229008972,0.296287341056149
"Zfp446",1.75019466325686,0.0260655965192533,1.4770754040773,0.342746828877616,1.4837858046127,0.296897717448727
"Socs6",-0.717318231485699,0.0540659504641683,-0.79124339550074,0.344064462596019,-0.786376138560325,0.296897717448727
"Ncstn",0.22095941661509,0.0960617256142052,0.269305535560344,0.330120640217719,0.274096274468728,0.296897717448727
"Mrpl42",0.309607535470652,0.0742127919736955,0.345978045293561,0.337533341290429,0.351321565366696,0.296897717448727
"Mcmbp",0.114661417190341,0.151299335391762,0.172738330917772,0.498017467911449,0.177852509299871,0.296897717448727
"Irs2",-0.670955862872029,0.0485490664576659,-0.691955990963966,0.344064462596019,-0.686360181732182,0.296897717448727
"Il12a",-0.637681263841742,0.0488696445543158,-0.686152525587739,0.343984480052106,-0.681356440559548,0.296897717448727
"Edaradd",-0.653351560330941,0.0783067184728347,-0.679478935489304,0.347894713662082,-0.675776628832678,0.296897717448727
"Dock6",-2.04346939710858,0.0697143158046091,-2.47889756843816,0.288853074536101,-2.48888183039135,0.296897717448727
"Crebrf",-0.456320906412158,0.0654826879731317,-0.479697944228317,0.34204247816491,-0.474998612987529,0.296897717448727
"1700123O20Rik",0.385790231245036,0.0455329728289585,0.39548085202203,0.376453810062496,0.401218618984392,0.296897717448727
"Ndufb6",0.512218222577184,0.0228856753037631,0.477376440073756,0.398626421453515,0.482478718698164,0.297922707113061
"Rad9b",-2.13781194683146,0.0537647745471998,-1.98914735332678,0.320124448514694,-1.98615432429368,0.297981427078942
"Pygl",-0.894927328128599,0.151931628326312,-1.07292307904841,0.320124448514694,-1.06857585412576,0.297981427078942
"Pex26",-1.23654386530021,0.0550201961703554,-1.35921104534065,0.337811757282091,-1.35518865572755,0.297981427078942
"Limk2",-0.462022877058516,0.04737943326918,-0.494951657161745,0.375337446983551,-0.489847990510334,0.300516294899474
"Rfwd3",-0.455058837272587,0.0525679839343433,-0.494498954165098,0.377552822205286,-0.489585055268535,0.300734778235822
"Srsf3",0.211446386432732,0.0750434611205164,0.251425624703423,0.357616068374694,0.256557607090033,0.301878797247278
"Klhl28",0.6358974532295,0.0357797412049501,0.613924653995751,0.376725940052408,0.618547081354169,0.304185026494448
"Fam65a",-0.533509225001516,0.0474214037889618,-0.52388057133791,0.347894713662082,-0.51991139069563,0.304185026494448
"Selo",-1.21008809894153,0.0655149859417329,-1.32604295661591,0.331101185182321,-1.32109030240433,0.304187876653254
"Vti1b",0.210393989911301,0.0833095139507462,0.247168815366645,0.344064462596019,0.252278001301472,0.304194434232271
"Lag3",-1.11434403936387,0.0450937718953087,-1.09201341404453,0.318394147069625,-1.08571559333152,0.304194434232271
"C1qc",-0.52455198154148,0.756178312935108,-1.84213436045405,0.377552822205286,-1.83485146914127,0.305376046664058
"Pold2",0.29700726252236,0.0626245605714956,0.32449150942589,0.354238100614413,0.329360452727891,0.305826929722365
"Gorasp2",-0.287310299586701,0.0259510850779526,-0.25066291767419,0.318352116231831,-0.245632224588417,0.306964295974582
"Rcc2",0.365600770315796,0.0395776286493435,0.366263912444115,0.400988465330321,0.371219074367002,0.307111833533541
"Pxk",-0.38579211318757,0.0411954093861606,-0.395256330336657,0.371484100003446,-0.390109945518131,0.307111833533541
"Stxbp2",0.20363962190776,0.122631087001625,0.26578260732592,0.318593342348102,0.271188205320712,0.307412861671903
"Thoc1",0.393558435472236,0.045135098394912,0.398159995461055,0.38546884129072,0.402759176236031,0.307579984782216
"Zcchc9",-0.481971488020407,0.0486624963521015,-0.516623053755769,0.365443278972248,-0.511587141718216,0.308008425790146
"Mcm3",0.457618677285724,0.0456125500546916,0.449386697753213,0.358727429876914,0.453920579003565,0.308008425790146
"Ppt2",-1.05171205503021,0.0736866559296595,-1.20573789391306,0.343521839789008,-1.20154418578749,0.308320817459706
"D230025D16Rik",0.84865108619702,0.0502241306753241,0.773843745685588,0.348656847165968,0.779513255441038,0.308320817459706
"Cox5b",0.237658878004472,0.0816982188126487,0.284157322893622,0.341669876958391,0.289599799660844,0.308320817459706
"Nedd8",0.238513348705104,0.076583412057898,0.27357088388628,0.34204247816491,0.278957055829374,0.309367578666755
"Ethe1",0.508158077064165,0.0244210664068877,0.471356374148572,0.407031122755904,0.476476992556521,0.309771257337147
"Urgcp",-0.463114211206481,0.0545959465238384,-0.487174400998193,0.384283888533777,-0.482342698175155,0.310099951517599
"Rrad",-1.14750745494072,0.0533667054470608,-1.13049330952033,0.322956202797822,-1.12396885296975,0.310099951517599
"Prpsap1",0.258365586779831,0.070476569610833,0.293514472260036,0.353475000821138,0.298895733780089,0.310099951517599
"Mkl1",-0.448183681536168,0.047846414564987,-0.450967167905576,0.357841458037879,-0.446706585065529,0.310099951517599
